# z  DH  sigDH  DM  sigDM  DV  sigDV
0.000000000000000000e+00 4.442279125676632248e+03 3.012613000844844464e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.874371859296482770e-03 4.419694262627283933e+03 2.886772655447363718e+02 4.375321032165125246e+01 2.931772820351219977e+01 4.371601014598521573e+01 1.955171476570267686e+01
1.974874371859296554e-02 4.397028023124324136e+03 2.765288238489168293e+02 8.728300753648018429e+01 4.060178685584217817e+01 8.713367619840641964e+01 2.708321537505507237e+01
2.962311557788945005e-02 4.374286333324645966e+03 2.648135406060397372e+02 1.305886173616616759e+02 4.870594330636729552e+01 1.302515387884529900e+02 3.249329721911948354e+01
3.949748743718593108e-02 4.351475080474333481e+03 2.535290344345393692e+02 1.736693238393375225e+02 5.509847924711228728e+01 1.730682487274050629e+02 3.675917670062635523e+01
4.937185929648241905e-02 4.328600108763269418e+03 2.426729863507020184e+02 2.165244689319302438e+02 6.036506881775665079e+01 2.155825663680924720e+02 4.027034298456914740e+01
5.924623115577890009e-02 4.305667215323514938e+03 2.322431452966117718e+02 2.591534520772331120e+02 6.481504216533859619e+01 2.577933608702869606e+02 4.323243654025302618e+01
6.912060301507537419e-02 4.282682146376151650e+03 2.222373286895648619e+02 3.015557297047200791e+02 6.863767834699926595e+01 2.996996093733712883e+02 4.577131772117815700e+01
7.899497487437186216e-02 4.259650593528960599e+03 2.126534166866608189e+02 3.437308147145531620e+02 7.196000640790227010e+01 3.413003960797122431e+02 4.797153170502180330e+01
8.886934673366835014e-02 4.236578190226397055e+03 2.034893386631513010e+02 3.856782759207825393e+02 7.487287833877282139e+01 3.825949112522150131e+02 4.989364694334513928e+01
9.874371859296483811e-02 4.213470508354513186e+03 1.947430502311156602e+02 4.273977374602586679e+02 7.744435763544704798e+01 4.235824501296367544e+02 5.158315068911270629e+01
1.086180904522613122e-01 4.190333055000582135e+03 1.864124989897977116e+02 4.688888781687831511e+02 7.972725962255077548e+01 4.642624117632158232e+02 5.307545344388185526e+01
1.184924623115578002e-01 4.167171269371686321e+03 1.784955771490948564e+02 5.101514309260482491e+02 8.176370415797956070e+01 5.046342977783770607e+02 5.439890651731967353e+01
1.283668341708542882e-01 4.143990519868566480e+03 1.709900592320089459e+02 5.511851819709153233e+02 8.358801854096168427e+01 5.446977110650553868e+02 5.557672296127888245e+01
1.382412060301507484e-01 4.120796101318697765e+03 1.638935233184289189e+02 5.919899701885859713e+02 8.522867178021895995e+01 5.844523544004662199e+02 5.662825501422803143e+01
1.481155778894472363e-01 4.097593232366291886e+03 1.572032547800833697e+02 6.325656863712267750e+02 8.670961120414381185e+01 6.238980290079633733e+02 5.756987477025945310e+01
1.579899497487437243e-01 4.074387053019794621e+03 1.509161322531510905e+02 6.729122724535977795e+02 8.805121485803664427e+01 6.630346330557440524e+02 5.841559997584092656e+01
