# z  DH  sigDH  DM  sigDM  DV  sigDV
0.000000000000000000e+00 4.488896084519630676e+03 2.035465143512979580e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.185929648241206003e-02 4.459955310972999541e+03 1.938271780951773735e+02 5.306354093809699890e+01 2.164354755449866730e+01 5.300627629298494270e+01 1.443389999899154397e+01
2.371859296482412005e-02 4.430976106659093603e+03 1.844705699329797710e+02 1.057836367813425795e+02 2.988304329544713411e+01 1.055540997184237568e+02 1.993269634472327922e+01
3.557788944723618008e-02 4.401967397794133831e+03 1.754680937185232494e+02 1.581598846971958494e+02 3.573998941846434718e+01 1.576424687408379839e+02 2.384090356685327805e+01
4.743718592964824010e-02 4.372937943003932560e+03 1.668111729979538040e+02 2.101919867180085078e+02 4.031021322233251425e+01 2.092705813611383974e+02 2.688766819963719001e+01
5.929648241206029319e-02 4.343896329202902052e+03 1.584912704697479739e+02 2.618797477290841584e+02 4.403250147330887643e+01 2.604378312570536309e+02 2.936470051849819995e+01
7.115577889447236015e-02 4.314850967853582006e+03 1.504999075652699219e+02 3.132230734101225949e+02 4.713935439934758875e+01 3.111438038050063710e+02 3.142652025089369161e+01
8.301507537688442018e-02 4.285810091610665040e+03 1.428286842308333178e+02 3.642219681345839604e+02 4.977340256918239447e+01 3.613882719944596715e+02 3.316795504351693324e+01
9.487437185929648020e-02 4.256781751330189763e+03 1.354692990029740258e+02 4.148765328314191834e+02 5.203054024856723458e+01 4.111711922451962096e+02 3.465283321882832723e+01
1.067336683417085402e-01 4.227773813447032808e+03 1.284135694821965217e+02 4.651869628135152652e+02 5.397941995869831544e+01 4.604927001382380922e+02 3.592694011877445348e+01
1.185929648241205864e-01 4.198793957701707768e+03 1.216534533238559845e+02 5.151535455771107763e+02 5.567148413103682714e+01 5.093531060703959383e+02 3.702467805346910978e+01
1.304522613065326464e-01 4.169849675214965828e+03 1.151810698739575685e+02 5.647766585763150715e+02 5.714662794315314187e+01 5.577528908426467069e+02 3.797282100000897032e+01
1.423115577889447203e-01 4.140948266892294669e+03 1.089887225914531115e+02 6.140567669767501684e+02 5.843662719426600205e+01 6.056927011917596246e+02 3.879278405362295246e+01
1.541708542713567942e-01 4.112096842157459832e+03 1.030689223954013727e+02 6.629944213922210565e+02 5.956733019903809634e+01 6.531733452749687103e+02 3.950207214885981699e+01
1.660301507537688404e-01 4.083302317994515306e+03 9.741441208040666311e+01 7.115902556081975945e+02 6.056012286095986497e+01 7.001957881164064474e+02 4.011524659512436841e+01
1.778894472361808865e-01 4.054571418293941861e+03 9.201819192559518967e+01 7.598449842957371629e+02 6.143294451933913791e+01 7.467611470243708709e+02 4.064459391171979519e+01
1.897487437185929604e-01 4.025910673490294812e+03 8.687354658861038104e+01 8.077594007193823700e+02 6.220101444771512433e+01 7.928706869879027863e+02 4.110060315890054028e+01
2.016080402010050066e-01 3.997326420473833423e+03 8.197407332079787068e+01 8.553343744423857515e+02 6.287736538137159670e+01 8.385258160604154227e+02 4.149231574520297272e+01
2.134673366834170805e-01 3.968824802776797242e+03 7.731371144058157086e+01 9.025708490325151843e+02 6.347324445700932216e+01 8.837280807389693109e+02 4.182758777050009513e+01
2.253266331658291266e-01 3.940411771011753899e+03 7.288677284962496117e+01 9.494698397715628744e+02 6.399842066774132832e+01 9.284791613460475901e+02 4.211329082777746891e+01
2.371859296482411728e-01 3.912093083549287257e+03 6.868797314840709589e+01 9.960324313714723985e+02 6.446142489241145768e+01 9.727808674207600461e+02 4.235546852478572077e+01
2.490452261306532467e-01 3.883874307435760329e+03 6.471246257732235563e+01 1.042259775699926422e+03 6.486974030673360403e+01 1.016635133127235463e+03 4.255946050957671645e+01
